HANSATECH INSTRUMENTS - OxyTrace+ Recording
Software Version: 1.0.48
File Version: 1.05M

RECORDING DESCRIPTION
Date: 21/05/21
Start Time: 08:34
Sample Time(sec),0.100000
Live Rate Over(sec) ,10

INSTRUMENTS USED
Instrument:1,Model:oxygraph+ Serial Number:19013

CALIBRATION DATA
Calibration Type,Liquid
Calibration Data Instrument No,1
Calibration Offset,215.658936
Calibration Factor,0.210076
Calibration Temperature,25.00
Calibration In Date,TRUE,
Calibration Units Index,0
Calibration Units String,



RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,308.144697,INVALID,Start,All,Start,Start at:08:34:17,
0.1,307.994933,INVALID,,,,,
0.2,307.907176,INVALID,,,,,
0.3,307.849913,INVALID,,,,,
0.4,307.778984,INVALID,,,,,
0.5,307.674624,INVALID,,,,,
0.6,307.532427,INVALID,,,,,
0.7,307.363462,INVALID,,,,,
0.8,307.193933,INVALID,,,,,
0.9,307.043265,INVALID,,,,,
1.0,306.919930,INVALID,Stirrer,All,System,Stirrer On,
1.1,306.819975,INVALID,,,,,
1.2,306.733459,INVALID,,,,,
1.3,306.649994,INVALID,,,,,
1.4,306.557492,INVALID,,,,,
1.5,306.459344,INVALID,,,,,
1.6,306.358936,INVALID,,,,,
1.7,306.258981,INVALID,,,,,
1.8,306.163430,INVALID,,,,,
1.9,306.075107,INVALID,,,,,
2.0,306.011407,INVALID,,,,,
2.1,305.997854,INVALID,,,,,
2.2,306.041450,INVALID,,,,,
2.3,306.134742,INVALID,,,,,
2.4,306.271969,INVALID,,,,,
2.5,306.457537,INVALID,,,,,
2.6,306.686813,INVALID,,,,,
2.7,306.952458,INVALID,,,,,
2.8,307.268589,INVALID,,,,,
2.9,307.660505,INVALID,,,,,
3.0,308.158138,INVALID,,,,,
3.1,308.785543,INVALID,,,,,
3.2,309.550740,INVALID,,,,,
3.3,310.442435,INVALID,,,,,
3.4,311.454189,INVALID,,,,,
3.5,312.589956,INVALID,,,,,
3.6,313.854366,INVALID,,,,,
3.7,315.237820,INVALID,,,,,
3.8,316.707902,INVALID,,,,,
3.9,318.243605,INVALID,,,,,
4.0,319.819741,INVALID,,,,,
4.1,321.410674,INVALID,,,,,
4.2,323.015724,INVALID,,,,,
4.3,324.633424,INVALID,,,,,
4.4,326.264000,INVALID,,,,,
4.5,327.905079,INVALID,,,,,
4.6,329.549999,INVALID,,,,,
4.7,331.186448,INVALID,,,,,
4.8,332.797145,INVALID,,,,,
4.9,335.909323,INVALID,,,,,
5.0,337.403462,INVALID,,,,,
5.1,338.854344,INVALID,,,,,
5.2,340.268066,INVALID,,,,,
5.3,341.668575,INVALID,,,,,
5.4,343.052028,INVALID,,,,,
5.5,344.384883,INVALID,,,,,
5.6,345.645002,INVALID,,,,,
