HANSATECH INSTRUMENTS - OxyTrace+ Recording
Software Version: 1.0.48
File Version: 1.05M

RECORDING DESCRIPTION
Date: 21/05/21
Start Time: 09:51
Sample Time(sec),0.100000
Live Rate Over(sec) ,10

INSTRUMENTS USED
Instrument:1,Model:oxygraph+ Serial Number:19013

CALIBRATION DATA
Calibration Type,Liquid
Calibration Data Instrument No,1
Calibration Offset,215.658936
Calibration Factor,0.210076
Calibration Temperature,25.00
Calibration In Date,TRUE,
Calibration Units Index,0
Calibration Units String,



RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,346.805730,INVALID,Start,All,Start,Start at:09:51:43,
0.1,346.717859,INVALID,,,,,
0.2,346.706791,INVALID,,,,,
0.3,346.729831,INVALID,,,,,
0.4,346.753888,INVALID,,,,,
0.5,346.765409,INVALID,,,,,
0.6,346.764053,INVALID,,,,,
0.7,346.762133,INVALID,,,,,
0.8,346.755469,INVALID,,,,,
0.9,346.735704,INVALID,Stirrer,All,System,Stirrer On,
1.0,346.706226,INVALID,,,,,
1.1,346.668502,INVALID,,,,,
1.2,346.626713,INVALID,,,,,
1.3,346.586392,INVALID,,,,,
1.4,346.536132,INVALID,,,,,
1.5,346.474464,INVALID,,,,,
1.6,346.405004,INVALID,,,,,
1.7,346.317133,INVALID,,,,,
1.8,346.209158,INVALID,,,,,
1.9,346.086614,INVALID,,,,,
2.0,345.949612,INVALID,,,,,
2.1,345.787763,INVALID,,,,,
2.2,345.605810,INVALID,,,,,
2.3,345.408497,INVALID,,,,,
2.4,345.198082,INVALID,,,,,
2.5,345.014208,INVALID,,,,,
2.6,344.903749,INVALID,,,,,
2.7,344.892906,INVALID,,,,,
2.8,344.996815,INVALID,,,,,
2.9,345.224736,INVALID,,,,,
3.0,345.570007,INVALID,,,,,
3.1,346.014894,INVALID,,,,,
3.2,346.545732,INVALID,,,,,
3.3,347.152355,INVALID,,,,,
3.4,347.831828,INVALID,,,,,
3.5,348.583133,INVALID,,,,,
3.6,349.395992,INVALID,,,,,
3.7,350.262387,INVALID,,,,,
3.8,351.168539,INVALID,,,,,
3.9,352.097166,INVALID,,,,,
4.0,353.040702,INVALID,,,,,
4.1,353.983448,INVALID,,,,,
4.2,354.916480,INVALID,,,,,
4.3,355.838782,INVALID,,,,,
4.4,356.746628,INVALID,,,,,
4.5,357.639565,INVALID,,,,,
4.6,358.512172,INVALID,,,,,
4.7,359.356769,INVALID,,,,,
4.8,360.178664,INVALID,,,,,
4.9,360.980568,INVALID,,,,,
5.0,361.749492,INVALID,,,,,
5.1,362.483743,INVALID,,,,,
5.2,363.198680,INVALID,,,,,
5.3,363.901983,INVALID,,,,,
5.4,364.596929,INVALID,,,,,
5.5,365.283969,INVALID,,,,,
5.6,366.589717,INVALID,,,,,
5.7,366.589717,INVALID,,,,,
5.8,367.807481,INVALID,,,,,
5.9,368.386321,INVALID,,,,,
6.0,368.921676,INVALID,,,,,
6.1,369.398414,INVALID,,,,,
6.2,369.828618,INVALID,,,,,
6.3,370.247641,INVALID,,,,,
6.4,370.694336,INVALID,,,,,
6.5,371.179770,INVALID,,,,,
6.6,371.675708,INVALID,,,,,
6.7,372.152897,INVALID,,,,,
6.8,372.608175,INVALID,,,,,
6.9,373.036008,INVALID,,,,,
7.0,373.414484,INVALID,,,,,
7.1,373.731632,INVALID,,,,,
7.2,373.988580,INVALID,,,,,
7.3,374.192557,INVALID,,,,,
7.4,374.361183,INVALID,,,,,
7.5,374.521451,INVALID,,,,,
7.6,374.706679,INVALID,,,,,
7.7,374.940022,INVALID,,,,,
7.8,375.212556,INVALID,,,,,
7.9,375.491867,INVALID,,,,,
8.0,375.771065,INVALID,,,,,
8.1,376.053765,INVALID,,,,,
8.2,376.332172,INVALID,,,,,
8.3,376.606740,INVALID,,,,,
8.4,376.891472,INVALID,,,,,
8.5,377.205457,INVALID,,,,,
8.6,377.533221,INVALID,,,,,
8.7,377.856467,INVALID,,,,,
8.8,378.168758,INVALID,,,,,
8.9,378.452813,INVALID,,,,,
9.0,378.706034,INVALID,,,,,
9.1,378.931358,INVALID,,,,,
9.2,379.136803,INVALID,,,,,
9.3,379.327792,INVALID,,,,,
9.4,379.502968,INVALID,,,,,
9.5,379.666173,INVALID,,,,,
9.6,379.819890,INVALID,,,,,
9.7,379.978351,INVALID,,,,,
9.8,380.140764,INVALID,,,,,
9.9,380.290980,265.115110,,,,,
10.0,380.417816,266.787079,,,,,
10.1,380.525452,268.223429,,,,,
10.2,380.622246,269.446816,,,,,
10.3,380.710794,270.465928,,,,,
10.4,380.817865,271.287264,,,,,
10.5,380.972147,271.922495,,,,,
10.6,381.177592,272.384149,,,,,
10.7,381.423246,272.684862,,,,,
10.8,381.693070,272.829742,,,,,
10.9,381.959392,272.810785,,,,,
11.0,382.195558,272.611651,,,,,
11.1,382.399649,272.215996,,,,,
11.2,382.568387,271.607999,,,,,
11.3,382.691948,270.770575,,,,,
11.4,382.769880,269.682667,,,,,
11.5,382.810088,268.325757,,,,,
11.6,382.826239,266.687702,,,,,
11.7,382.834371,264.758334,,,,,
11.8,382.842842,262.529771,,,,,
11.9,382.843407,259.993059,,,,,
12.0,382.816978,257.132432,,,,,
12.1,382.769202,253.930451,,,,,
12.2,382.720749,250.378742,,,,,
12.3,382.684720,246.475186,,,,,
12.4,382.664616,242.219534,,,,,
12.5,382.663373,237.626790,,,,,
12.6,382.690593,232.732480,,,,,
12.7,382.747969,227.582586,,,,,
