HANSATECH INSTRUMENTS - OxyTrace+ Recording
Software Version: 1.0.48
File Version: 1.05M

RECORDING DESCRIPTION
Date: 21/05/21
Start Time: 09:09
Sample Time(sec),0.100000
Live Rate Over(sec) ,10

INSTRUMENTS USED
Instrument:1,Model:oxygraph+ Serial Number:19013

CALIBRATION DATA
Calibration Type,Liquid
Calibration Data Instrument No,1
Calibration Offset,215.658936
Calibration Factor,0.210076
Calibration Temperature,25.00
Calibration In Date,TRUE,
Calibration Units Index,0
Calibration Units String,



RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,386.571018,INVALID,Start,All,Start,Start at:09:09:54,
0.1,386.622633,INVALID,,,,,
0.2,386.738966,INVALID,,,,,
0.3,386.902396,INVALID,,,,,
0.4,387.091239,INVALID,,,,,
0.5,387.263027,INVALID,,,,,
0.6,387.339716,INVALID,,,,,
0.7,387.310576,INVALID,,,,,
0.8,387.240212,INVALID,,,,,
0.9,387.191194,INVALID,,,,,
1.0,387.189726,INVALID,,,,,
1.1,387.230273,INVALID,,,,,
1.2,387.314416,INVALID,,,,,
1.3,387.437977,INVALID,,,,,
1.4,387.582433,INVALID,,,,,
1.5,387.727679,INVALID,,,,,
1.6,387.862761,INVALID,,,,,
1.7,387.985644,INVALID,,,,,
1.8,388.103332,INVALID,,,,,
1.9,388.217067,INVALID,,,,,
2.0,388.317474,INVALID,,,,,
2.1,388.406474,INVALID,,,,,
2.2,388.492425,INVALID,,,,,
2.3,388.575100,INVALID,,,,,
2.4,388.652128,INVALID,,,,,
2.5,388.718652,INVALID,,,,,
2.6,388.775124,INVALID,,,,,
2.7,388.831144,INVALID,,,,,
2.8,388.890101,INVALID,,,,,
2.9,388.951091,INVALID,,,,,
3.0,389.012646,INVALID,,,,,
3.1,389.069457,INVALID,,,,,
3.2,389.116329,INVALID,,,,,
3.3,389.156650,INVALID,,,,,
3.4,389.192001,INVALID,,,,,
3.5,389.218091,INVALID,,,,,
3.6,389.238873,INVALID,,,,,
3.7,389.260897,INVALID,,,,,
3.8,389.284502,INVALID,,,,,
3.9,389.308447,INVALID,,,,,
4.0,389.328212,INVALID,,,,,
4.1,389.338603,INVALID,,,,,
4.2,389.347977,INVALID,,,,,
4.3,389.372486,INVALID,,,,,
4.4,389.399254,INVALID,,,,,
4.5,389.412581,INVALID,,,,,
4.6,389.422633,INVALID,,,,,
4.7,389.437203,INVALID,,,,,
4.8,389.464761,INVALID,,,,,
4.9,389.509713,INVALID,,,,,
5.0,389.571042,INVALID,,,,,
5.1,389.645811,INVALID,,,,,
5.2,389.731423,INVALID,,,,,
5.3,389.830701,INVALID,,,,,
5.4,389.933028,INVALID,,,,,
5.5,390.022367,INVALID,,,,,
5.6,390.096684,INVALID,,,,,
5.7,390.157109,INVALID,,,,,
5.8,390.203417,INVALID,,,,,
5.9,390.240801,INVALID,,,,,
6.0,390.276379,INVALID,,,,,
6.1,390.305292,INVALID,,,,,
6.2,390.329349,INVALID,,,,,
6.3,390.356456,INVALID,,,,,
6.4,390.388193,INVALID,,,,,
6.5,390.417559,INVALID,,,,,
6.6,390.439696,INVALID,,,,,
6.7,390.463301,INVALID,,,,,
6.8,390.486116,INVALID,,,,,
6.9,390.507575,INVALID,,,,,
7.0,390.537280,INVALID,,,,,
7.1,390.579634,INVALID,,,,,
7.2,390.630233,INVALID,,,,,
7.3,390.677218,INVALID,,,,,
7.4,390.720475,INVALID,,,,,
7.5,390.754246,INVALID,,,,,
7.6,390.772317,INVALID,,,,,
7.7,390.788694,INVALID,,,,,
7.8,390.816478,INVALID,,,,,
7.9,390.857590,INVALID,,,,,
8.0,390.906607,INVALID,,,,,
8.1,390.950881,INVALID,,,,,
8.2,390.983522,INVALID,,,,,
8.3,391.009612,INVALID,,,,,
8.4,391.035477,INVALID,,,,,
8.5,391.067666,INVALID,,,,,
8.6,391.106067,INVALID,,,,,
8.7,391.146388,INVALID,,,,,
8.8,391.188742,INVALID,,,,,
8.9,391.234823,INVALID,,,,,
9.0,391.284180,INVALID,,,,,
9.1,391.330487,INVALID,,,,,
9.2,391.375552,INVALID,,,,,
9.3,391.419148,INVALID,,,,,
9.4,391.450434,INVALID,,,,,
9.5,391.467940,INVALID,,,,,
9.6,391.482849,INVALID,,,,,
9.7,391.499226,INVALID,,,,,
9.8,391.511650,INVALID,,,,,
9.9,391.521476,28.354781,,,,,
10.0,391.540337,27.981428,,,,,
10.1,391.570606,27.601850,,,,,
10.2,391.607313,27.242030,,,,,
10.3,391.647860,26.921036,,,,,
10.4,391.684115,26.647463,,,,,
10.5,391.713820,26.413875,,,,,
10.6,391.736860,26.184338,,,,,
10.7,391.745896,25.915762,,,,,
10.8,391.749397,25.590909,,,,,
10.9,391.759110,25.219225,,,,,
11.0,391.774019,24.819429,,,,,
11.1,391.799996,24.410625,,,,,
11.2,391.837832,24.013001,,,,,
11.3,391.878492,23.642228,,,,,
11.4,391.917119,23.305778,,,,,
11.5,391.949421,23.002445,,,,,
11.6,391.972010,22.725885,,,,,
11.7,391.989855,22.470781,,,,,
11.8,392.004651,22.234913,,,,,
11.9,392.014929,22.015974,,,,,
12.0,392.024868,21.809742,,,,,
12.1,392.040454,21.614733,,,,,
12.2,392.059994,21.431777,,,,,
12.3,392.066093,21.255369,,,,,
12.4,392.056154,21.078290,,,,,
12.5,392.053782,20.900046,,,,,
12.6,392.069933,20.724078,,,,,
12.7,392.094329,20.553452,,,,,
12.8,392.117821,20.389141,,,,,
12.9,392.150575,20.235441,,,,,
13.0,392.220374,20.105965,,,,,
13.1,392.344613,20.018332,,,,,
13.2,392.503526,19.980803,,,,,
13.3,392.646626,19.984551,,,,,
13.4,392.739805,20.009237,,,,,
13.5,392.795938,20.037871,,,,,
13.6,392.830725,20.060698,,,,,
13.7,392.849700,20.072433,,,,,
13.8,392.862914,20.071620,,,,,
13.9,392.876467,20.058578,,,,,
14.0,392.897814,20.034639,,,,,
14.1,392.923226,19.997834,,,,,
14.2,392.932488,19.941926,,,,,
14.3,392.920064,19.864691,,,,,
14.4,392.902783,19.765486,,,,,
14.5,392.889343,19.641108,,,,,
14.6,392.872063,19.489191,,,,,
14.7,392.846311,19.308555,,,,,
14.8,392.810734,19.100711,,,,,
14.9,392.773462,18.871835,,,,,
15.0,392.748953,18.633023,,,,,
15.1,392.744097,18.396786,,,,,
15.2,392.759457,18.174845,,,,,
15.3,392.793679,17.979399,,,,,
