HANSATECH INSTRUMENTS - OxyTrace+ Recording
Software Version: 1.0.48
File Version: 1.05M

RECORDING DESCRIPTION
Date: 21/05/21
Start Time: 13:28
Sample Time(sec),0.100000
Live Rate Over(sec) ,10

INSTRUMENTS USED
Instrument:1,Model:oxygraph+ Serial Number:19013

CALIBRATION DATA
Calibration Type,Liquid
Calibration Data Instrument No,1
Calibration Offset,215.658936
Calibration Factor,0.210076
Calibration Temperature,25.00
Calibration In Date,TRUE,
Calibration Units Index,0
Calibration Units String,



RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,355.195339,INVALID,Start,All,Start,Start at:13:28:36,
0.1,355.590531,INVALID,,,,,
0.2,356.046148,INVALID,,,,,
0.3,356.556091,INVALID,,,,,
0.4,357.088171,INVALID,,,,,
0.5,357.623188,INVALID,,,,,
0.6,358.147023,INVALID,,,,,
0.7,358.649173,INVALID,,,,,
0.8,359.134382,INVALID,,,,,
0.9,359.609764,INVALID,,,,,
1.0,360.073174,INVALID,,,,,
1.1,360.526081,INVALID,,,,,
1.2,360.965772,INVALID,,,,,
1.3,361.386941,INVALID,,,,,
1.4,361.792298,INVALID,,,,,
1.5,362.180600,INVALID,,,,,
1.6,362.547556,INVALID,,,,,
1.7,362.886954,INVALID,,,,,
1.8,363.207263,INVALID,,,,,
1.9,363.514923,INVALID,,,,,
2.0,363.804964,INVALID,,,,,
2.1,364.076934,INVALID,,,,,
2.2,364.324733,INVALID,,,,,
2.3,364.548476,INVALID,,,,,
2.4,364.756519,INVALID,,,,,
2.5,364.949993,INVALID,,,,,
2.6,365.130365,INVALID,,,,,
2.7,365.300684,INVALID,,,,,
2.8,365.460049,INVALID,,,,,
2.9,365.612975,INVALID,,,,,
3.0,365.760593,INVALID,,,,,
3.1,365.902903,INVALID,,,,,
3.2,366.037081,INVALID,,,,,
3.3,366.159512,INVALID,,,,,
3.4,366.272682,INVALID,,,,,
3.5,366.378398,INVALID,,,,,
3.6,366.486599,INVALID,,,,,
3.7,366.606320,INVALID,,,,,
3.8,366.729881,INVALID,,,,,
3.9,366.836161,INVALID,,,,,
4.0,366.913641,INVALID,,,,,
4.1,366.971694,INVALID,,,,,
4.2,367.015178,INVALID,,,,,
4.3,367.044882,INVALID,,,,,
4.4,367.062953,INVALID,,,,,
4.5,367.070069,INVALID,,,,,
4.6,367.069617,INVALID,,,,,
4.7,367.067471,INVALID,,,,,
4.8,367.066793,INVALID,,,,,
4.9,367.065325,INVALID,,,,,
5.0,367.061372,INVALID,,,,,
5.1,367.053918,INVALID,,,,,
5.2,367.050303,INVALID,,,,,
5.3,367.048948,INVALID,,,,,
5.4,367.044430,INVALID,,,,,
5.5,367.040025,INVALID,,,,,
5.6,367.041607,INVALID,,,,,
5.7,367.051772,INVALID,,,,,
5.8,367.061824,INVALID,,,,,
5.9,367.068487,INVALID,,,,,
6.0,367.068713,INVALID,,,,,
6.1,367.055951,INVALID,,,,,
6.2,367.037879,INVALID,,,,,
6.3,367.023197,INVALID,,,,,
6.4,367.009643,INVALID,,,,,
6.5,366.995751,INVALID,,,,,
6.6,366.980617,INVALID,,,,,
6.7,366.966386,INVALID,,,,,
6.8,366.954188,INVALID,,,,,
6.9,366.944475,INVALID,,,,,
7.0,366.947524,INVALID,,,,,
7.1,366.966838,INVALID,,,,,
7.2,366.998349,INVALID,,,,,
