HANSATECH INSTRUMENTS - OxyTrace+ Recording
Software Version: 1.0.48
File Version: 1.05M

RECORDING DESCRIPTION
Date: 21/05/21
Start Time: 13:57
Sample Time(sec),0.100000
Live Rate Over(sec) ,10

INSTRUMENTS USED
Instrument:1,Model:oxygraph+ Serial Number:19013

CALIBRATION DATA
Calibration Type,Liquid
Calibration Data Instrument No,1
Calibration Offset,215.658936
Calibration Factor,0.210076
Calibration Temperature,25.00
Calibration In Date,TRUE,
Calibration Units Index,0
Calibration Units String,



RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,276.165106,INVALID,Start,All,Start,Start at:13:57:54,
0.1,277.979668,INVALID,,,,,
0.2,279.762267,INVALID,,,,,
0.3,281.509966,INVALID,,,,,
0.4,283.206614,INVALID,,,,,
0.5,284.836286,INVALID,,,,,
0.6,286.393448,INVALID,,,,,
0.7,287.881940,INVALID,,,,,
0.8,289.308877,INVALID,,,,,
0.9,290.674260,INVALID,,,,,
1.0,291.973570,INVALID,,,,,
1.1,293.211213,INVALID,,,,,
1.2,294.394642,INVALID,,,,,
1.3,295.523633,INVALID,,,,,
1.4,296.594118,INVALID,,,,,
1.5,297.605985,INVALID,,,,,
1.6,298.558331,INVALID,,,,,
1.7,300.313371,INVALID,,,,,
1.8,301.130297,INVALID,,,,,
1.9,301.920793,INVALID,,,,,
2.0,302.691412,INVALID,,,,,
2.1,303.436392,INVALID,,,,,
2.2,304.153813,INVALID,,,,,
2.3,304.842547,INVALID,,,,,
2.4,305.499770,INVALID,,,,,
2.5,306.128869,INVALID,,,,,
2.6,306.729958,INVALID,,,,,
2.7,307.300213,INVALID,,,,,
2.8,307.848558,INVALID,,,,,
2.9,308.385494,INVALID,,,,,
3.0,308.913170,INVALID,,,,,
3.1,309.425937,INVALID,,,,,
3.2,309.927296,INVALID,,,,,
3.3,310.424025,INVALID,,,,,
3.4,310.908555,INVALID,,,,,
3.5,311.370836,INVALID,,,,,
3.6,311.811093,INVALID,,,,,
3.7,312.228534,INVALID,,,,,
3.8,312.613222,INVALID,,,,,
3.9,312.961768,INVALID,,,,,
4.0,313.279029,INVALID,,,,,
4.1,313.569408,INVALID,,,,,
4.2,313.837199,INVALID,,,,,
4.3,314.085676,INVALID,,,,,
4.4,314.311452,INVALID,,,,,
4.5,314.518253,INVALID,,,,,
4.6,314.718390,INVALID,,,,,
4.7,314.919656,INVALID,,,,,
4.8,315.122843,INVALID,,,,,
4.9,315.329305,INVALID,,,,,
5.0,315.542883,INVALID,,,,,
5.1,315.763011,INVALID,,,,,
5.2,315.983139,INVALID,,,,,
5.3,316.199879,INVALID,,,,,
5.4,316.413344,INVALID,,,,,
5.5,316.623533,INVALID,,,,,
5.6,316.833157,INVALID,,,,,
5.7,317.042104,INVALID,,,,,
5.8,317.241338,INVALID,,,,,
5.9,317.418660,INVALID,,,,,
6.0,317.574636,INVALID,,,,,
6.1,317.718753,INVALID,,,,,
6.2,317.861740,INVALID,,,,,
6.3,318.002808,INVALID,,,,,
6.4,318.139244,INVALID,,,,,
6.5,318.274777,INVALID,,,,,
6.6,318.418217,INVALID,,,,,
6.7,318.576903,INVALID,,,,,
6.8,318.745868,INVALID,,,,,
6.9,318.918334,INVALID,,,,,
7.0,319.083797,INVALID,,,,,
7.1,319.231641,INVALID,,,,,
7.2,319.363673,INVALID,,,,,
7.3,319.482942,INVALID,,,,,
7.4,319.592498,INVALID,,,,,
7.5,319.697649,INVALID,,,,,
7.6,319.799411,INVALID,,,,,
7.7,319.905240,INVALID,,,,,
7.8,320.025639,INVALID,,,,,
7.9,320.163656,INVALID,,,,,
8.0,320.315454,INVALID,,,,,
8.1,320.471881,INVALID,,,,,
8.2,320.627405,INVALID,,,,,
8.3,320.780558,INVALID,,,,,
8.4,320.931451,INVALID,,,,,
8.5,321.077714,INVALID,,,,,
8.6,321.218217,INVALID,,,,,
8.7,321.352056,INVALID,,,,,
8.8,321.476520,INVALID,,,,,
8.9,321.587883,INVALID,,,,,
9.0,321.684337,INVALID,,,,,
9.1,321.766674,INVALID,,,,,
9.2,321.838167,INVALID,,,,,
9.3,321.903788,INVALID,,,,,
9.4,321.971555,INVALID,,,,,
9.5,322.048018,INVALID,,,,,
9.6,322.139051,INVALID,,,,,
9.7,322.242960,INVALID,,,,,
9.8,322.350708,INVALID,,,,,
9.9,322.462749,220.548109,,,,,
10.0,322.580324,212.050836,,,,,
10.1,322.699367,203.921612,,,,,
10.2,322.815587,196.160016,,,,,
10.3,322.927063,188.763667,,,,,
10.4,323.030858,181.723044,,,,,
10.5,323.132169,175.024376,,,,,
10.6,323.237433,168.653711,,,,,
10.7,323.340890,162.595889,,,,,
10.8,323.433392,156.834594,,,,,
10.9,323.517083,151.353911,,,,,
11.0,323.596370,146.137473,,,,,
11.1,323.672269,141.170433,,,,,
11.2,323.747264,136.441120,,,,,
11.3,323.820451,131.937076,,,,,
11.4,323.891155,127.643743,,,,,
11.5,323.963326,123.547528,,,,,
11.6,324.040354,119.635285,,,,,
11.7,324.123255,116.207297,,,,,
11.8,324.204123,112.933750,,,,,
11.9,324.277424,109.807634,,,,,
12.0,324.344851,106.824793,,,,,
12.1,324.406858,103.979035,,,,,
12.2,324.468412,101.265096,,,,,
12.3,324.532904,98.678312,,,,,
12.4,324.598298,96.212042,,,,,
12.5,324.665613,93.861007,,,,,
12.6,324.740156,91.621640,,,,,
12.7,324.829382,89.491757,,,,,
12.8,324.938373,87.473897,,,,,
12.9,325.062273,85.572390,,,,,
13.0,325.183349,83.785836,,,,,
13.1,325.284322,82.104576,,,,,
13.2,325.363834,80.519778,,,,,
13.3,325.429229,79.027763,,,,,
13.4,325.485249,77.623860,,,,,
13.5,325.537994,76.301897,,,,,
13.6,325.595596,75.058545,,,,,
13.7,325.661668,73.891282,,,,,
13.8,325.731129,72.791936,,,,,
13.9,325.801606,71.749995,,,,,
14.0,325.871293,70.755805,,,,,
14.1,325.934541,69.799078,,,,,
14.2,325.989432,68.870257,,,,,
14.3,326.038111,67.961638,,,,,
14.4,326.084418,67.065558,,,,,
14.5,326.130387,66.176289,,,,,
14.6,326.178727,65.293411,,,,,
14.7,326.228874,64.419073,,,,,
14.8,326.277779,63.554618,,,,,
14.9,326.326232,62.702187,,,,,
15.0,326.375814,61.865908,,,,,
15.1,326.428221,61.050350,,,,,
15.2,326.478820,60.256077,,,,,
15.3,326.526482,59.482030,,,,,
15.4,326.576290,58.729001,,,,,
15.5,326.627680,57.997542,,,,,
15.6,326.683362,57.290119,,,,,
15.7,326.742544,56.608843,,,,,
15.8,326.803760,55.951985,,,,,
15.9,326.858877,55.310397,,,,,
16.0,326.904280,54.673735,,,,,
16.1,326.945957,54.037154,,,,,
16.2,326.986052,53.400417,,,,,
16.3,327.027051,52.763889,,,,,
16.4,327.067711,52.126486,,,,,
16.5,327.108484,51.488609,,,,,
16.6,327.150838,50.854379,,,,,
16.7,327.191836,50.229586,,,,,
16.8,327.234755,49.619498,,,,,
16.9,327.287952,49.029961,,,,,
17.0,327.358768,48.465566,,,,,
17.1,327.437829,47.923527,,,,,
17.2,327.504579,47.394201,,,,,
17.3,327.553145,46.866936,,,,,
17.4,327.585899,46.333072,,,,,
17.5,327.607923,45.787738,,,,,
17.6,327.620573,45.226957,,,,,
17.7,327.625542,44.650113,,,,,
17.8,327.628140,44.062384,,,,,
17.9,327.637288,43.473361,,,,,
18.0,327.657280,42.892847,,,,,
18.1,327.677384,42.323515,,,,,
18.2,327.692857,41.764368,,,,,
18.3,327.706749,41.214987,,,,,
