HANSATECH INSTRUMENTS - OxyTrace+ Recording
Software Version: 1.0.48
File Version: 1.05M

RECORDING DESCRIPTION
Date: 21/05/21
Start Time: 12:26
Sample Time(sec),0.100000
Live Rate Over(sec) ,10

INSTRUMENTS USED
Instrument:1,Model:oxygraph+ Serial Number:19013

CALIBRATION DATA
Calibration Type,Liquid
Calibration Data Instrument No,1
Calibration Offset,215.658936
Calibration Factor,0.210076
Calibration Temperature,25.00
Calibration In Date,TRUE,
Calibration Units Index,0
Calibration Units String,



RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,310.513364,INVALID,Start,All,Start,Start at:12:26:10,
0.1,310.241846,INVALID,,,,,
0.2,309.987156,INVALID,,,,,
0.3,309.753927,INVALID,,,,,
0.4,309.524085,INVALID,,,,,
0.5,309.279109,INVALID,,,,,
0.6,309.018999,INVALID,,,,,
0.7,308.757420,INVALID,,,,,
0.8,308.508378,INVALID,,,,,
0.9,308.279440,INVALID,Stirrer,All,System,Stirrer On,
1.0,308.066766,INVALID,,,,,
1.1,307.852962,INVALID,,,,,
1.2,307.615780,INVALID,,,,,
1.3,307.344826,INVALID,,,,,
1.4,307.042814,INVALID,,,,,
1.5,306.718212,INVALID,,,,,
1.6,306.382768,INVALID,,,,,
1.7,306.040208,INVALID,,,,,
1.8,305.686692,INVALID,,,,,
1.9,305.331144,INVALID,,,,,
2.0,304.991747,INVALID,,,,,
2.1,304.688152,INVALID,,,,,
2.2,304.441256,INVALID,,,,,
2.3,304.281327,INVALID,,,,,
2.4,304.236714,INVALID,,,,,
2.5,304.331136,INVALID,,,,,
2.6,304.584808,INVALID,,,,,
2.7,305.002250,INVALID,,,,,
2.8,305.582784,INVALID,,,,,
2.9,306.324601,INVALID,,,,,
3.0,307.217877,INVALID,,,,,
3.1,308.246460,INVALID,,,,,
3.2,309.394877,INVALID,,,,,
3.3,310.643814,INVALID,,,,,
3.4,311.974071,INVALID,,,,,
3.5,313.365657,INVALID,,,,,
3.6,314.800161,INVALID,,,,,
3.7,316.263693,INVALID,,,,,
3.8,317.738292,INVALID,,,,,
3.9,319.210407,INVALID,,,,,
4.0,320.669421,INVALID,,,,,
4.1,322.105506,INVALID,,,,,
4.2,323.501497,INVALID,,,,,
4.3,324.845646,INVALID,,,,,
4.4,326.144279,INVALID,,,,,
4.5,327.408802,INVALID,,,,,
4.6,328.643960,INVALID,,,,,
4.7,329.841169,INVALID,,,,,
4.8,330.993539,INVALID,,,,,
4.9,332.101861,INVALID,,,,,
5.0,333.165343,INVALID,,,,,
5.1,334.183987,INVALID,,,,,
5.2,335.156437,INVALID,,,,,
5.3,336.081563,INVALID,,,,,
5.4,336.962641,INVALID,,,,,
5.5,337.801703,INVALID,,,,,
5.6,338.603833,INVALID,,,,,
5.7,339.363044,INVALID,,,,,
5.8,340.071431,INVALID,,,,,
5.9,340.741303,INVALID,,,,,
6.0,341.390393,INVALID,,,,,
6.1,342.024123,INVALID,,,,,
6.2,342.638879,INVALID,,,,,
