HANSATECH INSTRUMENTS - OxyTrace+ Recording
Software Version: 1.0.48
File Version: 1.05M

RECORDING DESCRIPTION
Date: 21/05/21
Start Time: 11:33
Sample Time(sec),0.100000
Live Rate Over(sec) ,10

INSTRUMENTS USED
Instrument:1,Model:oxygraph+ Serial Number:19013

CALIBRATION DATA
Calibration Type,Liquid
Calibration Data Instrument No,1
Calibration Offset,215.658936
Calibration Factor,0.210076
Calibration Temperature,25.00
Calibration In Date,TRUE,
Calibration Units Index,0
Calibration Units String,



RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,288.340041,INVALID,Start,All,Start,Start at:11:33:44,
0.1,288.102858,INVALID,,,,,
0.2,287.911079,INVALID,,,,,
0.3,287.767866,INVALID,,,,,
0.4,287.657971,INVALID,,,,,
0.5,287.563550,INVALID,,,,,
0.6,287.468790,INVALID,Stirrer,All,System,Stirrer On,
0.7,287.361944,INVALID,,,,,
0.8,287.239965,INVALID,,,,,
0.9,287.109627,INVALID,,,,,
1.0,286.973077,INVALID,,,,,
1.1,286.839464,INVALID,,,,,
1.2,286.727537,INVALID,,,,,
1.3,286.646556,INVALID,,,,,
1.4,286.607816,INVALID,,,,,
1.5,286.604089,INVALID,,,,,
1.6,286.610414,INVALID,,,,,
1.7,286.617642,INVALID,,,,,
1.8,286.641812,INVALID,,,,,
1.9,286.703480,INVALID,,,,,
2.0,286.807953,INVALID,,,,,
2.1,286.961331,INVALID,,,,,
2.2,287.170391,INVALID,,,,,
2.3,287.450154,INVALID,,,,,
2.4,287.821966,INVALID,,,,,
2.5,288.298930,INVALID,,,,,
2.6,288.893129,INVALID,,,,,
2.7,289.622975,INVALID,,,,,
2.8,290.509813,INVALID,,,,,
2.9,291.557032,INVALID,,,,,
3.0,292.750513,INVALID,,,,,
3.1,294.069363,INVALID,,,,,
3.2,295.497881,INVALID,,,,,
3.3,297.017546,INVALID,,,,,
3.4,298.601927,INVALID,,,,,
3.5,300.225049,INVALID,,,,,
3.6,301.868613,INVALID,,,,,
3.7,303.519632,INVALID,,,,,
3.8,305.163761,INVALID,,,,,
3.9,306.790383,INVALID,,,,,
4.0,308.389335,INVALID,,,,,
4.1,309.948529,INVALID,,,,,
4.2,311.462886,INVALID,,,,,
4.3,312.938502,INVALID,,,,,
4.4,314.376395,INVALID,,,,,
4.5,315.770352,INVALID,,,,,
4.6,317.130652,INVALID,,,,,
4.7,318.469380,INVALID,,,,,
4.8,319.771175,INVALID,,,,,
4.9,321.014239,INVALID,,,,,
5.0,322.188182,INVALID,,,,,
5.1,323.297294,INVALID,,,,,
5.2,324.351741,INVALID,,,,,
5.3,325.358978,INVALID,,,,,
5.4,326.327587,INVALID,,,,,
5.5,327.254972,INVALID,,,,,
5.6,328.140229,INVALID,,,,,
5.7,329.786278,INVALID,,,,,
5.8,329.786278,INVALID,,,,,
5.9,330.548539,INVALID,,,,,
6.0,331.982591,INVALID,,,,,
6.1,332.661612,INVALID,,,,,
6.2,333.315672,INVALID,,,,,
6.3,333.949741,INVALID,,,,,
6.4,334.560656,INVALID,,,,,
6.5,335.136672,INVALID,,,,,
6.6,335.676432,INVALID,,,,,
6.7,336.191119,INVALID,,,,,
6.8,336.685589,INVALID,,,,,
6.9,337.158034,INVALID,,,,,
7.0,337.613313,INVALID,,,,,
7.1,338.052101,INVALID,,,,,
7.2,338.482079,INVALID,,,,,
7.3,338.908557,INVALID,,,,,
7.4,339.326676,INVALID,,,,,
7.5,339.735083,INVALID,,,,,
7.6,340.134566,INVALID,,,,,
7.7,340.527160,INVALID,,,,,
7.8,340.910493,INVALID,,,,,
7.9,341.278127,INVALID,,,,,
8.0,341.624865,INVALID,,,,,
8.1,341.953872,INVALID,,,,,
8.2,342.273165,INVALID,,,,,
8.3,342.589522,INVALID,,,,,
8.4,342.903507,INVALID,,,,,
8.5,343.207666,INVALID,,,,,
8.6,343.502111,INVALID,,,,,
8.7,343.789780,INVALID,,,,,
8.8,344.070672,INVALID,,,,,
8.9,344.344901,INVALID,,,,,
9.0,344.622292,INVALID,,,,,
9.1,344.905330,INVALID,,,,,
9.2,345.184302,INVALID,,,,,
9.3,345.458418,INVALID,,,,,
