HANSATECH INSTRUMENTS - OxyTrace+ Recording
Software Version: 1.0.48
File Version: 1.05M

RECORDING DESCRIPTION
Date: 21/05/21
Start Time: 11:21
Sample Time(sec),0.100000
Live Rate Over(sec) ,10

INSTRUMENTS USED
Instrument:1,Model:oxygraph+ Serial Number:19013

CALIBRATION DATA
Calibration Type,Liquid
Calibration Data Instrument No,1
Calibration Offset,215.658936
Calibration Factor,0.210076
Calibration Temperature,25.00
Calibration In Date,TRUE,
Calibration Units Index,0
Calibration Units String,



RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,325.581930,INVALID,Start,All,Start,Start at:11:21:34,
0.1,325.341697,INVALID,,,,,
0.2,325.122360,INVALID,,,,,
0.3,324.903361,INVALID,,,,,
0.4,324.663693,INVALID,,,,,
0.5,324.391159,INVALID,,,,,
0.6,324.088016,INVALID,,,,,
0.7,323.755396,INVALID,,,,,
0.8,323.392167,INVALID,,,,,
0.9,323.007479,INVALID,,,,,
1.0,322.617031,INVALID,,,,,
1.1,322.222517,INVALID,,,,,
1.2,321.825405,INVALID,,,,,
1.3,321.438571,INVALID,,,,,
1.4,321.068114,INVALID,,,,,
1.5,320.715615,INVALID,,,,,
1.6,320.383220,INVALID,,,,,
1.7,320.067541,INVALID,,,,,
1.8,319.758864,INVALID,,,,,
1.9,319.447703,INVALID,,,,,
2.0,319.126264,INVALID,,,,,
2.1,318.791158,INVALID,,,,,
2.2,318.444081,INVALID,,,,,
2.3,318.085483,INVALID,,,,,
2.4,317.724852,INVALID,,,,,
2.5,317.375403,INVALID,,,,,
2.6,317.037360,INVALID,,,,,
2.7,316.704853,INVALID,,,,,
2.8,316.373587,INVALID,,,,,
2.9,316.038595,INVALID,,,,,
3.0,315.701682,INVALID,,,,,
3.1,315.364544,INVALID,,,,,
3.2,315.026276,INVALID,,,,,
3.3,314.691057,INVALID,,,,,
3.4,314.357759,INVALID,,,,,
3.5,314.010117,INVALID,,,,,
3.6,313.645081,INVALID,,,,,
3.7,313.295406,INVALID,,,,,
3.8,312.992263,INVALID,,,,,
3.9,312.738252,INVALID,,,,,
4.0,312.519931,INVALID,,,,,
4.1,312.320697,INVALID,,,,,
4.2,312.124965,INVALID,,,,,
4.3,311.919971,INVALID,,,,,
4.4,311.702440,INVALID,Stirrer,All,System,Stirrer On,
4.5,311.475648,INVALID,,,,,
4.6,311.241515,INVALID,,,,,
4.7,310.996539,INVALID,,,,,
4.8,310.736654,INVALID,,,,,
4.9,310.454520,INVALID,,,,,
5.0,310.139518,INVALID,,,,,
5.1,309.795490,INVALID,,,,,
5.2,309.444234,INVALID,,,,,
5.3,309.093768,INVALID,,,,,
5.4,308.733137,INVALID,,,,,
5.5,308.358840,INVALID,,,,,
5.6,307.977992,INVALID,,,,,
5.7,307.604033,INVALID,,,,,
5.8,307.267347,INVALID,,,,,
5.9,307.007123,INVALID,,,,,
6.0,306.853519,INVALID,,,,,
6.1,306.829575,INVALID,,,,,
6.2,306.959235,INVALID,,,,,
6.3,307.271977,INVALID,,,,,
6.4,307.783841,INVALID,,,,,
6.5,308.491436,INVALID,,,,,
6.6,309.377371,INVALID,,,,,
6.7,310.414763,INVALID,,,,,
6.8,311.575717,INVALID,,,,,
6.9,312.835836,INVALID,,,,,
7.0,314.179985,INVALID,,,,,
7.1,315.584107,INVALID,,,,,
7.2,317.027986,INVALID,,,,,
7.3,318.507442,INVALID,,,,,
7.4,320.015474,INVALID,,,,,
7.5,321.538414,INVALID,,,,,
7.6,323.057965,INVALID,,,,,
7.7,324.558203,INVALID,,,,,
7.8,326.027720,INVALID,,,,,
7.9,327.454996,INVALID,,,,,
8.0,328.837208,INVALID,,,,,
8.1,330.175258,INVALID,,,,,
8.2,331.459886,INVALID,,,,,
8.3,332.685669,INVALID,,,,,
8.4,333.857578,INVALID,,,,,
8.5,334.988489,INVALID,,,,,
8.6,336.095568,INVALID,,,,,
