HANSATECH INSTRUMENTS - OxyTrace+ Recording
Software Version: 1.0.48
File Version: 1.05M

RECORDING DESCRIPTION
Date: 21/05/21
Start Time: 13:45
Sample Time(sec),0.100000
Live Rate Over(sec) ,10

INSTRUMENTS USED
Instrument:1,Model:oxygraph+ Serial Number:19013

CALIBRATION DATA
Calibration Type,Liquid
Calibration Data Instrument No,1
Calibration Offset,215.658936
Calibration Factor,0.210076
Calibration Temperature,25.00
Calibration In Date,TRUE,
Calibration Units Index,0
Calibration Units String,



RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,315.600936,INVALID,Start,All,Start,Start at:13:45:05,
0.1,316.788770,INVALID,,,,,
0.2,317.968473,INVALID,,,,,
0.3,319.119487,INVALID,,,,,
0.4,320.229390,INVALID,,,,,
0.5,321.292986,INVALID,,,,,
0.6,322.304966,INVALID,,,,,
0.7,323.265669,INVALID,,,,,
0.8,324.177242,INVALID,,,,,
0.9,325.045219,INVALID,,,,,
1.0,325.874794,INVALID,,,,,
1.1,326.674326,INVALID,,,,,
1.2,327.444831,INVALID,,,,,
1.3,328.178404,INVALID,,,,,
1.4,328.876512,INVALID,,,,,
1.5,329.544352,INVALID,,,,,
1.6,330.184068,INVALID,,,,,
1.7,330.798597,INVALID,,,,,
1.8,331.380373,INVALID,,,,,
1.9,331.924877,INVALID,,,,,
2.0,332.431884,INVALID,,,,,
2.1,332.901731,INVALID,,,,,
2.2,333.339842,INVALID,,,,,
2.3,333.752540,INVALID,,,,,
2.4,334.145925,INVALID,,,,,
2.5,334.521577,INVALID,,,,,
2.6,334.871930,INVALID,,,,,
2.7,335.197775,INVALID,,,,,
2.8,335.505886,INVALID,,,,,
2.9,335.803720,INVALID,,,,,
3.0,336.096585,INVALID,,,,,
3.1,336.380188,INVALID,,,,,
3.2,336.652835,INVALID,,,,,
3.3,336.913510,INVALID,,,,,
3.4,337.160067,INVALID,,,,,
3.5,337.390699,INVALID,,,,,
3.6,337.606875,INVALID,,,,,
3.7,337.815822,INVALID,,,,,
3.8,338.014603,INVALID,,,,,
3.9,338.200735,INVALID,,,,,
4.0,338.376477,INVALID,,,,,
4.1,338.540810,INVALID,,,,,
4.2,338.696561,INVALID,,,,,
4.3,338.843953,INVALID,,,,,
4.4,338.981745,INVALID,,,,,
4.5,339.111292,INVALID,,,,,
4.6,339.234740,INVALID,,,,,
4.7,339.347797,INVALID,,,,,
4.8,339.450011,INVALID,,,,,
4.9,339.549064,INVALID,,,,,
5.0,339.651617,INVALID,,,,,
5.1,339.761060,INVALID,,,,,
5.2,339.875133,INVALID,,,,,
5.3,339.999711,INVALID,,,,,
5.4,340.144844,INVALID,,,,,
5.5,340.305338,INVALID,,,,,
5.6,340.465380,INVALID,,,,,
5.7,340.609836,INVALID,,,,,
5.8,340.730686,INVALID,,,,,
5.9,340.829512,INVALID,,,,,
6.0,340.909364,INVALID,,,,,
6.1,340.973516,INVALID,,,,,
6.2,341.029536,INVALID,,,,,
6.3,341.077199,INVALID,,,,,
6.4,341.115939,INVALID,,,,,
6.5,341.148805,INVALID,,,,,
6.6,341.185061,INVALID,,,,,
6.7,341.227979,INVALID,,,,,
6.8,341.281402,INVALID,,,,,
6.9,341.356058,INVALID,,,,,
7.0,341.451609,INVALID,,,,,
7.1,341.561842,INVALID,,,,,
7.2,341.682580,INVALID,,,,,
7.3,341.809529,INVALID,,,,,
7.4,341.935349,INVALID,,,,,
7.5,342.044114,INVALID,,,,,
7.6,342.126112,INVALID,,,,,
7.7,342.182697,INVALID,,,,,
7.8,342.216806,INVALID,,,,,
7.9,342.236797,INVALID,,,,,
8.0,342.249560,INVALID,,,,,
8.1,342.254191,INVALID,,,,,
8.2,342.251141,INVALID,,,,,
8.3,342.247188,INVALID,,,,,
8.4,342.247979,INVALID,,,,,
8.5,342.253513,INVALID,,,,,
8.6,342.266163,INVALID,,,,,
8.7,342.288526,INVALID,,,,,
8.8,342.316536,INVALID,,,,,
8.9,342.346805,INVALID,,,,,
9.0,342.373121,INVALID,,,,,
9.1,342.397178,INVALID,,,,,
9.2,342.422590,INVALID,,,,,
9.3,342.450713,INVALID,,,,,
9.4,342.483806,INVALID,,,,,
9.5,342.523450,INVALID,,,,,
9.6,342.569644,INVALID,,,,,
9.7,342.610530,INVALID,,,,,
9.8,342.638088,INVALID,,,,,
9.9,342.656498,124.431392,,,,,
10.0,342.673439,118.799698,,,,,
