HANSATECH INSTRUMENTS - OxyTrace+ Recording
Software Version: 1.0.48
File Version: 1.05M

RECORDING DESCRIPTION
Date: 21/05/21
Start Time: 10:51
Sample Time(sec),0.100000
Live Rate Over(sec) ,10

INSTRUMENTS USED
Instrument:1,Model:oxygraph+ Serial Number:19013

CALIBRATION DATA
Calibration Type,Liquid
Calibration Data Instrument No,1
Calibration Offset,215.658936
Calibration Factor,0.210076
Calibration Temperature,25.00
Calibration In Date,TRUE,
Calibration Units Index,0
Calibration Units String,



RECORDED DATA
TIME,OXYGEN,RATE,EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Label,Trace,Type,Comment
0.0,317.761107,INVALID,Start,All,Start,Start at:10:51:10,
0.1,317.406801,INVALID,,,,,
0.2,317.124553,INVALID,,,,,
0.3,316.902731,INVALID,,,,,
0.4,316.703271,INVALID,,,,,
0.5,316.493873,INVALID,,,,,
0.6,316.258497,INVALID,,,,,
0.7,316.002791,INVALID,,,,,
0.8,315.741213,INVALID,,,,,
0.9,315.473987,INVALID,,,,,
1.0,315.202469,INVALID,,,,,
1.1,314.931516,INVALID,Stirrer,All,System,Stirrer On,
1.2,314.656835,INVALID,,,,,
1.3,314.380912,INVALID,,,,,
1.4,314.101601,INVALID,,,,,
1.5,313.819128,INVALID,,,,,
1.6,313.547497,INVALID,,,,,
1.7,313.301279,INVALID,,,,,
1.8,313.119100,INVALID,,,,,
1.9,313.056754,INVALID,,,,,
2.0,313.114582,INVALID,,,,,
2.1,313.215215,INVALID,,,,,
2.2,313.277673,INVALID,,,,,
2.3,313.279932,INVALID,,,,,
2.4,313.249324,INVALID,,,,,
2.5,313.208213,INVALID,,,,,
2.6,313.156371,INVALID,,,,,
2.7,313.114243,INVALID,,,,,
2.8,313.119551,INVALID,,,,,
2.9,313.214312,INVALID,,,,,
3.0,313.435230,INVALID,,,,,
3.1,313.808850,INVALID,,,,,
3.2,314.351434,INVALID,,,,,
3.3,315.065129,INVALID,,,,,
3.4,315.938865,INVALID,,,,,
3.5,316.949603,INVALID,,,,,
3.6,318.078593,INVALID,,,,,
3.7,319.308782,INVALID,,,,,
3.8,320.618483,INVALID,,,,,
3.9,321.991546,INVALID,,,,,
4.0,323.411255,INVALID,,,,,
4.1,324.857392,INVALID,,,,,
4.2,326.313017,INVALID,,,,,
4.3,327.760962,INVALID,,,,,
4.4,329.182930,INVALID,,,,,
4.5,330.573725,INVALID,,,,,
4.6,331.934816,INVALID,,,,,
4.7,333.264395,INVALID,,,,,
4.8,334.560882,INVALID,,,,,
4.9,335.818629,INVALID,,,,,
5.0,337.038765,INVALID,,,,,
5.1,338.237329,INVALID,,,,,
5.2,339.432053,INVALID,,,,,
5.3,340.622824,INVALID,,,,,
5.4,341.781067,INVALID,,,,,
5.5,342.875948,INVALID,,,,,
5.6,343.898207,INVALID,,,,,
5.7,344.851117,INVALID,,,,,
5.8,345.752412,INVALID,,,,,
5.9,346.619598,INVALID,,,,,
6.0,347.459225,INVALID,,,,,
6.1,348.268696,INVALID,,,,,
6.2,349.044849,INVALID,,,,,
6.3,349.788925,INVALID,,,,,
6.4,350.502055,INVALID,,,,,
6.5,351.189547,INVALID,,,,,
6.6,351.851513,INVALID,,,,,
6.7,352.484791,INVALID,,,,,
6.8,353.095706,INVALID,,,,,
6.9,353.694311,INVALID,,,,,
7.0,354.279136,INVALID,,,,,
7.1,354.842614,INVALID,,,,,
7.2,355.385876,INVALID,,,,,
7.3,355.914116,INVALID,,,,,
7.4,356.420558,INVALID,,,,,
7.5,356.898764,INVALID,,,,,
7.6,357.352122,INVALID,,,,,
7.7,357.780632,INVALID,,,,,
7.8,358.191975,INVALID,,,,,
7.9,358.593379,INVALID,,,,,
8.0,358.976147,INVALID,,,,,
8.1,359.336891,INVALID,,,,,
8.2,359.681145,INVALID,,,,,
8.3,360.000890,INVALID,,,,,
8.4,360.287768,INVALID,,,,,
8.5,360.550364,INVALID,,,,,
8.6,360.800083,INVALID,,,,,
8.7,361.049012,INVALID,,,,,
8.8,361.309010,INVALID,,,,,
8.9,361.580528,INVALID,,,,,
9.0,361.847415,INVALID,,,,,
9.1,362.103685,INVALID,,,,,
9.2,362.354986,INVALID,,,,,
9.3,362.602108,INVALID,,,,,
9.4,362.840533,INVALID,,,,,
9.5,363.072747,INVALID,,,,,
9.6,363.298635,INVALID,,,,,
9.7,363.506114,INVALID,,,,,
9.8,363.692811,INVALID,,,,,
9.9,363.859629,388.672022,,,,,
10.0,364.019219,391.795901,,,,,
10.1,364.186829,394.517593,,,,,
10.2,364.359068,396.861191,,,,,
10.3,364.525209,398.843223,,,,,
10.4,364.677006,400.463914,,,,,
10.5,364.824625,401.715631,,,,,
10.6,364.974389,402.587121,,,,,
10.7,365.121103,403.067133,,,,,
10.8,365.274820,403.153128,,,,,
10.9,365.455644,402.849724,,,,,
11.0,365.673513,402.165339,,,,,
11.1,365.905275,401.101606,,,,,
11.2,366.125742,399.649523,,,,,
11.3,366.509188,397.863166,,,,,
11.4,366.684025,395.662198,,,,,
11.5,366.878628,393.049244,,,,,
11.6,367.099095,390.034032,,,,,
11.7,367.323402,386.623626,,,,,
11.8,367.539804,382.835109,,,,,
11.9,367.743216,378.704555,,,,,
12.0,367.926751,374.266666,,,,,
12.1,368.079112,369.524992,,,,,
12.2,368.175002,364.445148,,,,,
12.3,368.209224,358.983023,,,,,
12.4,368.195106,353.109205,,,,,
12.5,368.147105,346.807680,,,,,
12.6,368.081258,340.068233,,,,,
12.7,368.006602,332.891358,,,,,
12.8,367.929913,325.293814,,,,,
12.9,367.857629,317.310289,,,,,
13.0,367.789184,308.989232,,,,,
13.1,367.724354,300.389540,,,,,
13.2,367.669012,291.579196,,,,,
13.3,367.636032,282.632697,,,,,
13.4,367.630724,273.623479,,,,,
13.5,367.646084,264.615059,,,,,
13.6,367.675676,255.662678,,,,,
13.7,367.713060,246.813827,,,,,
13.8,367.749541,238.105690,,,,,
13.9,367.781278,229.568783,,,,,
14.0,367.810079,221.228680,,,,,
14.1,367.854692,213.110643,,,,,
14.2,367.944370,205.244278,,,,,
14.3,368.084872,197.654742,,,,,
14.4,368.269988,190.357906,,,,,
14.5,368.480177,183.360278,,,,,
14.6,368.680540,176.656055,,,,,
14.7,368.847246,170.230139,,,,,
14.8,368.970807,164.063492,,,,,
14.9,369.054160,158.136142,,,,,
15.0,369.101822,152.430146,,,,,
15.1,369.119103,146.935274,,,,,
15.2,369.117408,141.651873,,,,,
15.3,369.107921,136.584341,,,,,
15.4,369.097869,131.729293,,,,,
15.5,369.098208,127.075803,,,,,
15.6,369.114020,122.610860,,,,,
15.7,369.137738,118.319313,,,,,
15.8,369.167782,114.191336,,,,,
15.9,369.204150,110.223055,,,,,
16.0,369.242889,106.411276,,,,,
16.1,369.278467,102.749673,,,,,
16.2,369.311108,99.230656,,,,,
16.3,369.344539,95.848197,,,,,
16.4,369.383844,92.598254,,,,,
16.5,369.429473,89.478608,,,,,
16.6,369.477362,86.485406,,,,,
